,,,,,Full Description,Killed,Injured,threat_id,Community,Province,Count,Attack Type,Date of Attack
,,,,,The missile was intercepted and neutralized by NATO air and missile defense elements in the Eastern Mediterranean,0,0,Unknown_ID,The missile was intercepted and neutralized by NATO air and missile defense elements in the Eastern Mediterranean,Unknown Country,1,Missile,Unknown Date
,,,,,"Reported by Turkish Defense Ministry.""
  },
  {
    ""threat_id"": ""THRT-IRN-006"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Missile Attack"",
    ""location"": {
      ""city"": null,
      ""province"": ""Israel"",
      ""coordinates"": null
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-03T13:18:00Z"",
    ""details"": ""Joint missile attack by Iran and Hezbollah against Israel.""
  },
  {
    ""threat_id"": ""THRT-IRN-007"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Anti-ship Missile"",
    ""location"": {
      ""city"": null,
      ""province"": ""Oman"",
      ""coordinates"": null
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-03T13:24:00Z"",
    ""details"": ""A ship attempting to enter the Gulf of Oman from the Strait of Hormuz, violating an Iranian blockade, was hit by two anti-ship missiles in Omani territorial waters.""
  },
  {
    ""threat_id"": ""THRT-IRN-008"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone Strike"",
    ""location"": {
      ""city"": ""Bandar Abbas"",
      ""province"": ""Hormozgan"",
      ""coordinates"": [27.1827, 56.2801]
    },
    ""severity"": ""Medium"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-03T14:28:00Z"",
    ""details"": ""A US drone strike targeted Iran's Shahid Sayyad Shirazi (Soleimani-class missile corvette) in the Persian Gulf near Bandar Abbas, causing a fire on its helipad but not decommissioning the ship.""
  },
  {
    ""threat_id"": ""THRT-IRN-009"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Submarine Attack"",
    ""location"": {
      ""city"": ""Galle"",
      ""province"": null,
      ""coordinates"": [6.0535, 80.2209]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-03T20:00:00Z"",
    ""details"": ""The Iranian Dena frigate was sunk by a US submarine off the southern coast of Sri Lanka (near Galle) while returning from military exercises",0,0,Unknown_ID,Shiraz,Iran,1,Drone,2026-03-03
,,,,,"32 crew members were rescued; one report from Sri Lankan Deputy Foreign Minister claims at least 80 fatalities.""
  },
  {
    ""threat_id"": ""THRT-IRN-010"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Ship Attack"",
    ""location"": {
      ""city"": null,
      ""province"": ""Oman"",
      ""coordinates"": null
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": null,
    ""details"": ""A Maltese-flagged cargo ship was attacked in the Strait of Hormuz and off the coast of Oman",0,0,Unknown_ID,"32 crew members were rescued; one report from Sri Lankan Deputy Foreign Minister claims at least 80 fatalities.""
  }",Oman,1,Unknown Type,Unknown Date
,,,,,"Reported by Reuters.""
  },
  {
    ""threat_id"": ""THRT-IRN-011"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Missile Strike"",
    ""location"": {
      ""city"": ""Al Udeid"",
      ""province"": null,
      ""coordinates"": [25.1, 51.3333]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-02-28T00:00:00Z"",
    ""details"": ""Iran destroyed the AN/FPS-132 over-the-horizon early warning ballistic missile defense radar at US Al Udeid Air Base in Qatar with a single missile on the first day of the conflict (February 28, 2026), rendering interceptor systems partially blind",0,0,Unknown_ID,"Reported by Reuters.""
  }",Qatar,1,Missile,2026-02-28
,,,,,"Confirmed by NYT satellite imagery.""
  },
  {
    ""threat_id"": ""THRT-IRN-012"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Airstrike/Missile Strike"",
    ""location"": {
      ""city"": ""Tehran"",
      ""province"": null,
      ""coordinates"": [35.6892, 51.389]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-04T00:00:00Z"",
    ""details"": ""Israeli army targeted dozens of headquarters belonging to law enforcement and Basij forces in Tehran on Day 5 of the conflict.""
  },
  {
    ""threat_id"": ""THRT-IRN-013"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Cruise Missile"",
    ""location"": {
      ""city"": ""Riyadh"",
      ""province"": null,
      ""coordinates"": [24.7136, 46.6877]
    },
    ""severity"": ""Medium"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-04T00:00:00Z"",
    ""details"": ""Saudi Ministry of Defense intercepted two Iranian cruise missiles south of Riyadh on Wednesday, March 4, 2026.""
  },
  {
    ""threat_id"": ""THRT-IRN-014"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone Attack"",
    ""location"": {
      ""city"": null,
      ""province"": ""Cyprus"",
      ""coordinates"": null
    },
    ""severity"": ""High"",
    ""confidence"": ""Medium"",
    ""timestamp"": ""2026-03-03T00:00:00Z"",
    ""details"": ""Iran reportedly attacked a UK military base in Cyprus with drones on Tuesday, March 3, 2026.""
  },
  {
    ""threat_id"": ""THRT-IRN-015"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Missile, Drone"",
    ""location"": {
      ""city"": ""Manama"",
      ""province"": ""Capital Governorate"",
      ""coordinates"": [26.2285, 50.586]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-02-28T00:00:00Z"",
    ""details"": ""Iran used missiles and/or drones to destroy two AN/GSC-52B SATCOM terminals at the US Naval Support Activity in Bahrain on the first day of the conflict (February 28, 2026), degrading regional C5I communications",0,0,Unknown_ID,Manama,Bahrain,1,Drone,2026-03-04
,,,,,"Confirmed by NYT satellite imagery.""
  },
  {
    ""threat_id"": ""THRT-IRN-016"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Missile, Drone"",
    ""location"": {
      ""city"": ""Al Ruwais"",
      ""province"": ""Abu Dhabi"",
      ""coordinates"": [24.1167, 52.7333]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-03T00:00:00Z"",
    ""details"": ""Iran used missiles and/or drones to destroy two AN/TPY-2 X-band fire control radars at UAE’s Al Ruwais base on Tuesday, March 3, 2026",0,0,Unknown_ID,Abu dhabi,United Arab Emirates,1,Drone,2026-03-03
,,,,,"Confirmed by NYT satellite imagery.""
  },
  {
    ""threat_id"": ""THRT-IRN-017"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Strike"",
    ""location"": {
      ""city"": null,
      ""province"": ""Saudi Arabia"",
      ""coordinates"": [24.0617, 47.4583]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-02-28T00:00:00Z"",
    ""details"": ""A radome-linked structure 10km from Prince Sultan Air Base in Saudi Arabia was hit on Saturday, February 28, 2026",0,0,Unknown_ID,"Confirmed by NYT satellite imagery.""
  }",Saudi Arabia,1,Unknown Type,2026-02-28
,,,,,"Confirmed by NYT satellite imagery.""
  },
  {
    ""threat_id"": ""THRT-IRN-018"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Strike"",
    ""location"": {
      ""city"": null,
      ""province"": ""Kuwait"",
      ""coordinates"": [28.9167, 47.9333]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-01T00:00:00Z"",
    ""details"": ""Three unidentified radomes were struck at Camp Arifjan, Kuwait on Sunday, March 1, 2026",0,0,Unknown_ID,"Confirmed by NYT satellite imagery.""
  }",Kuwait,1,IED,2026-03-01
,,,,,"Confirmed by NYT satellite imagery.""
  },
  {
    ""threat_id"": ""THRT-IRN-019"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Strike"",
    ""location"": {
      ""city"": null,
      ""province"": ""Kuwait"",
      ""coordinates"": [29.3378, 47.5336]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-01T00:00:00Z"",
    ""details"": ""Eight buildings adjacent to radome and satellite dish infrastructure were struck in back-to-back attacks on Sunday, March 1, 2026, and Monday, March 2, 2026, at Ali Al Salam Air Base, Kuwait",0,0,Unknown_ID,"Confirmed by NYT satellite imagery.""
  }",Kuwait,1,Unknown Type,2026-03-01
,,,,,"Confirmed by NYT satellite imagery.""
  },
  {
    ""threat_id"": ""THRT-IRN-020"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Strike"",
    ""location"": {
      ""city"": ""Erbil"",
      ""province"": ""Iraqi Kurdistan"",
      ""coordinates"": [36.1911, 43.9922]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": null,
    ""details"": ""Telecoms infrastructure, including Mount Korek tower and radome in Erbil, Iraqi Kurdistan, was repeatedly targeted by Iranian or allied forces in recent days",0,0,Unknown_ID,Erbil,Iraq,1,IED,Unknown Date
,,,,,"Confirmed by NYT satellite imagery.""
  },
  {
    ""threat_id"": ""THRT-IRN-021"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Strike"",
    ""location"": {
      ""city"": ""Al Udeid"",
      ""province"": null,
      ""coordinates"": [25.1, 51.3333]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2025-06-30T00:00:00Z"",
    ""details"": ""In late June 2025, IRGC demolished a $15M Modernization Enterprise Terminal (MET) geodesic radar dome at Al Udeid Air Base, Qatar, used by the US Air Force for secure communications",0,0,Unknown_ID,"Confirmed by NYT satellite imagery.""
  }",Qatar,1,Unknown Type,2025-06-30
,,,,,"Presented as a warning.""
  },
  {
    ""threat_id"": ""THRT-IRN-022"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Helicopter Strike"",
    ""location"": {
      ""city"": null,
      ""province"": null,
      ""coordinates"": null
    },
    ""severity"": ""Medium"",
    ""confidence"": ""Low"",
    ""timestamp"": null,
    ""details"": ""The Israeli army released footage claiming a strike on an Iranian Mi-17 helicopter, but the effectiveness is disputed due to lack of secondary explosion or structural damage.""
  },
  {
    ""threat_id"": ""THRT-IRN-023"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Strike"",
    ""location"": {
      ""city"": ""Tabriz"",
      ""province"": ""East Azerbaijan"",
      ""coordinates"": [38.0833, 46.2917]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-03T00:00:00Z"",
    ""details"": ""Satellite imagery on March 3, 2026, shows a recent strike on Tabriz Missile Base in Iran, with multiple craters and a visibly damaged radome.""
  },
  {
    ""threat_id"": ""THRT-IRN-024"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone Attack"",
    ""location"": {
      ""city"": ""Khdeira"",
      ""province"": ""Haifa District"",
      ""coordinates"": [32.4277, 34.9126]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-04T04:30:00Z"",
    ""details"": ""Hezbollah attacked the Ein Shemer missile air defense base in Israel with a squadron of attack drones on Wednesday, March 4, 2026, at 04:30 AM, in response to Israeli aggression on Lebanese cities.""
  },
  {
    ""threat_id"": ""THRT-IRN-025"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Attack"",
    ""location"": {
      ""city"": ""Dubai"",
      ""province"": null,
      ""coordinates"": [25.2048, 55.2708]
    },
    ""severity"": ""High"",
    ""confidence"": ""Medium"",
    ""timestamp"": ""2026-03-03T00:00:00Z"",
    ""details"": ""US embassy in Dubai was hit on Tuesday, March 3, 2026 (Day 4 of the conflict).""
  },
  {
    ""threat_id"": ""THRT-IRN-026"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Rocket Attack"",
    ""location"": {
      ""city"": ""Tel Aviv"",
      ""province"": null,
      ""coordinates"": [32.0853, 34.7818]
    },
    ""severity"": ""High"",
    ""confidence"": ""Medium"",
    ""timestamp"": ""2026-03-03T00:00:00Z"",
    ""details"": ""Rockets hit Tel Aviv on Tuesday, March 3, 2026 (Day 4 of the conflict).""
  },
  {
    ""threat_id"": ""THRT-IRN-027"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Air-to-Air Combat"",
    ""location"": {
      ""city"": null,
      ""province"": ""Qatar"",
      ""coordinates"": null
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-01T00:00:00Z"",
    ""details"": ""Qatar downed two Iranian Su-24 aircraft on Sunday, March 1, 2026 (Day 2 of the conflict).""
  },
  {
    ""threat_id"": ""THRT-IRN-028"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone Attack"",
    ""location"": {
      ""city"": null,
      ""province"": ""Saudi Arabia"",
      ""coordinates"": null
    },
    ""severity"": ""Medium"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-04T00:00:00Z"",
    ""details"": ""Saudi state media reported that nine drones were intercepted and destroyed upon entering Saudi Arabia's airspace on Wednesday, March 4, 2026.""
  },
  {
    ""threat_id"": ""THRT-IRN-029"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Indirect impact from Iranian attacks"",
    ""location"": {
      ""city"": null,
      ""province"": ""Kuwait"",
      ""coordinates"": null
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""2026-03-04T00:00:00Z"",
    ""details"": ""An 11-year-old girl was killed in Kuwait on Wednesday, March 4, 2026, after being hit by falling shrapnel following waves of Iranian attacks across the Gulf.""
  }
]",0,0,Unknown_ID,Tel aviv,Israel,1,Explosion,2026-03-03
,,,,,"[{""threat_id"":""THRT-IRN-ISR-001"",""category"":""Geopolitical"",""attack_type"":""Missile, Rocket"",""location"":{""city"":null,""province"":null,""coordinates"":null},""severity"":""High"",""confidence"":""High"",""timestamp"":""2026-03-04T22:26:45Z"",""details"":""Joint missile and rocket attacks by Iran and Hezbollah targeted central Israel, injuring 2 people",0,0,Unknown_ID,"[{""threat_id"":""THRT-IRN-ISR-001""",Israel,1,Missile,2026-03-04
,,,,,Sirens sounded in over 300 Israeli cities and villages,0,0,Unknown_ID,Sirens sounded in over 300 Israeli cities and villages,Unknown Country,1,Unknown Type,Unknown Date
,,,,,"Interceptions reported.""1},{""threat_id"":""THRT-USA-IRN-001"",""category"":""Geopolitical"",""attack_type"":""Submarine / Torpedo attack"",""location"":{""city"":""Galle"",""province"":""Southern Province"",""coordinates"":[6.0535,80.2207]},""severity"":""Critical"",""confidence"":""High"",""timestamp"":""2026-03-03T23:00:00Z"",""details"":""A US submarine attacked and sank the Iranian frigate Dena off the southern coast of Sri Lanka with a torpedo",0,0,Unknown_ID,"Interceptions reported.""1}",Unknown Country,1,Unknown Type,2026-03-03
,,,,,32 crew members were rescued and injured sailors hospitalized in Galle,0,0,Unknown_ID,32 crew members were rescued and injured sailors hospitalized in Galle,Unknown Country,1,Unknown Type,Unknown Date
,,,,,The ship was returning from Milan 2026 naval exercise,0,0,Unknown_ID,The ship was returning from Milan 2026 naval exercise,Unknown Country,1,Unknown Type,Unknown Date
,,,,,"US Defense Secretary Pete Hegseth announced this as the first such submarine attack since WWII.""2},{""threat_id"":""THRT-IRN-GBR-001"",""category"":""Geopolitical"",""attack_type"":""Missile"",""location"":{""city"":null,""province"":null,""coordinates"":null},""severity"":""High"",""confidence"":""High"",""details"":""Iranian armed forces targeted the British-owned, Maltese-flagged container ship 'Safeen Prestige' with a missile in the Strait of Hormuz, two nautical miles off the northern coast of Oman",0,0,Unknown_ID,"US Defense Secretary Pete Hegseth announced this as the first such submarine attack since WWII.""2}",Oman,1,Missile,Unknown Date
,,,,,"The attack caused a severe fire in the engine room, and the crew was evacuated and transferred to Oman",0,0,Unknown_ID,The attack caused a severe fire in the engine room,Oman,1,Unknown Type,Unknown Date
,,,,,"Iran states unauthorized passage.""3},{""threat_id"":""THRT-IRN-QAT-001"",""category"":""Geopolitical"",""attack_type"":""Missile"",""location"":{""city"":""Al Udeid"",""province"":null,""coordinates"":[25.1000,51.3167]},""severity"":""High"",""confidence"":""Medium"",""timestamp"":""2026-03-04T00:00:00Z"",""details"":""Iran claims a major missile strike on the US Al Udeid Air Base in Qatar, stating significant damage to critical infrastructure",0,0,Unknown_ID,"Iran states unauthorized passage.""3}",Qatar,1,Missile,2026-03-04
,,,,,US officials reported limited damage and successful missile interception,0,0,Unknown_ID,US officials reported limited damage and successful missile interception,Unknown Country,1,Missile,Unknown Date
,,,,,"Separately, Iran attacked the AN/FPS-132 forward warning radar in Qatar, rendering it 'blinded'.""4},{""threat_id"":""THRT-IRN-TUR-001"",""category"":""Geopolitical"",""attack_type"":""Ballistic Missile"",""location"":{""city"":""Adana"",""province"":""Adana"",""coordinates"":[37.0016,35.4241]},""severity"":""Medium"",""confidence"":""High"",""timestamp"":""2026-03-05T04:40:00Z"",""details"":""Iran launched a ballistic missile attack on the Incirlik Air Base in Adana, Turkey (joint US-Turkish-NATO base)",0,0,Unknown_ID,Separately,Qatar,1,Missile,2026-03-05
,,,,,The missile was intercepted by NATO air defenses (US Navy SM-3),0,0,Unknown_ID,The missile was intercepted by NATO air defenses (US Navy SM-3),Unknown Country,1,Missile,Unknown Date
,,,,,"Debris from an interceptor fell in Dörtyol, Hatay Province.""5},{""threat_id"":""THRT-HEZ-ISR-001"",""category"":""Geopolitical"",""attack_type"":""Suicide Drone"",""location"":{""city"":""Lod"",""province"":""Central District"",""coordinates"":[31.95,34.88]},""severity"":""Medium"",""confidence"":""Medium"",""timestamp"":""2026-03-04T02:00:00Z"",""details"":""Hezbollah claimed a suicide drone attack on the Israel Aerospace Industries (IAI) headquarters in central Israel (Likely Lod) at 2 AM Wednesday.""6},{""threat_id"":""THRT-HEZ-ISR-002"",""category"":""Geopolitical"",""attack_type"":""Precision Missile"",""location"":{""city"":""Safed"",""province"":""Northern District"",""coordinates"":[32.9649,35.5002]},""severity"":""Medium"",""confidence"":""Medium"",""timestamp"":""2026-03-04T03:30:00Z"",""details"":""Hezbollah claimed a precision missile strike on the 'Giveh' drone control base east of Safed at 3:30 AM Wednesday.""7},{""threat_id"":""THRT-HEZ-ISR-003"",""category"":""Geopolitical"",""attack_type"":""Attack Drones (swarms)"",""location"":{""city"":null,""province"":null,""coordinates"":null},""severity"":""Medium"",""confidence"":""Medium"",""timestamp"":""2026-03-04T06:00:00Z"",""details"":""Hezbollah launched swarms of attack drones targeting Israeli military assets including Iron Dome radars at Kiryat Eliezer air defense base (Haifa), Ein Shemer air defense missile base, and Tel Hashomer military base (southeast of Tel Aviv) on Wednesday.""8},{""threat_id"":""THRT-HEZ-ISR-004"",""category"":""Geopolitical"",""attack_type"":""Drone, Rocket"",""location"":{""city"":null,""province"":null,""coordinates"":null},""severity"":""Medium"",""confidence"":""Medium"",""timestamp"":""2026-03-04T06:00:00Z"",""details"":""Hezbollah media unit released footage claiming a drone attack on Meron Air Control Base in northern Israel and a rocket attack on the Nafah base in the occupied Golan.""9},{""threat_id"":""THRT-HEZ-LBN-001"",""category"":""Geopolitical"",""attack_type"":""Anti-tank fire"",""location"":{""city"":null,""province"":""Southern Lebanon"",""coordinates"":null},""severity"":""Medium"",""confidence"":""High"",""timestamp"":""2026-03-04T06:00:00Z"",""details"":""Hezbollah anti-tank fire moderately injured two Israeli Defense Forces (IDF) soldiers in southern Lebanon on Wednesday.""10},{""threat_id"":""THRT-IRN-DEF-001"",""category"":""Geopolitical"",""attack_type"":""Drone"",""location"":{""city"":null,""province"":""Chaharmahal and Bakhtiari"",""coordinates"":[32.0667,50.8500]},""severity"":""Low"",""confidence"":""High"",""details"":""An enemy drone was destroyed by integrated air defense fire of the Islamic Republic of Iran Armed Forces in Chaharmahal and Bakhtiari Province.""11}]",0,0,Unknown_ID,Tel aviv,Israel,1,IED,2026-03-04
,,,,,"[
  {
    ""threat_id"": ""THRT-IRN-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Missile, Drone"",
    ""location"": {
      ""city"": ""Israel (target area)"",
      ""province"": ""Lebanon (launch area)"",
      ""coordinates"": [0.0, 0.0]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""1970-01-01T00:00:00Z"",
    ""details"": ""Israeli media reports approximately 100 missiles and drones fired from Lebanon towards Israel.""
  },
  {
    ""threat_id"": ""THRT-IRN-002"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone"",
    ""location"": {
      ""city"": ""Cyprus"",
      ""province"": ""Cyprus"",
      ""coordinates"": [0.0, 0.0]
    },
    ""severity"": ""Medium"",
    ""confidence"": ""Medium"",
    ""timestamp"": ""1970-01-01T00:00:00Z"",
    ""details"": ""Bloomberg reports a drone, launched by Hezbollah (not Iran), targeted a British base in Cyprus.""
  },
  {
    ""threat_id"": ""THRT-IRN-003"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Ballistic Missile, Drone"",
    ""location"": {
      ""city"": ""Al Udeid Air Base"",
      ""province"": ""Qatar"",
      ""coordinates"": [0.0, 0.0]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""High"",
    ""timestamp"": ""1970-01-01T00:00:00Z"",
    ""details"": ""IRGC (Iran) destroyed a $1.1 Billion US AN/FPS-132 early warning ballistic missile defense radar at Al Udeid Air Base, Qatar",0,0,Unknown_ID,"[
  {
    ""threat_id"": ""THRT-IRN-001""",Israel,1,Drone,1970-01-01
,,,,,"It was rendered 'blinded.' Reportedly struck by a ballistic missile.""
  },
  {
    ""threat_id"": ""THRT-IRN-004"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Ballistic Missile, Interception"",
    ""location"": {
      ""city"": ""Incirlik Air Base"",
      ""province"": ""Turkey"",
      ""coordinates"": [0.0, 0.0]
    },
    ""severity"": ""Low"",
    ""confidence"": ""High"",
    ""timestamp"": ""1970-01-01T00:00:00Z"",
    ""details"": ""An Iranian medium-range ballistic missile, targeting Incirlik Air Base (and possibly Kurecik radar), was fired and intercepted by a US Navy Arleigh Burke-class destroyer using an SM-3 missile in the Eastern Mediterranean.""
  },
  {
    ""threat_id"": ""THRT-IRN-005"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Missile"",
    ""location"": {
      ""city"": ""Tel Hashomer"",
      ""province"": ""Israel"",
      ""coordinates"": [0.0, 0.0]
    },
    ""severity"": ""High"",
    ""confidence"": ""Medium"",
    ""timestamp"": ""1970-01-01T00:00:00Z"",
    ""details"": ""Hezbollah attacked Israel's 'Tel Hashomer' military base, located 120 km from the Lebanese border and southeast of Tel Aviv, using missiles",0,0,Unknown_ID,Tel aviv,Israel,1,Missile,1970-01-01
,,,,,"This base is the headquarters of the Israeli army's joint staff.""
  },
  {
    ""threat_id"": ""THRT-IRN-006"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Ballistic Missile, Drone"",
    ""location"": {
      ""city"": null,
      ""province"": ""Northern Iraq"",
      ""coordinates"": [0.0, 0.0]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""1970-01-01T00:00:00Z"",
    ""details"": ""Iran escalated attacks on Iranian Kurdish opposition bases in Northern Iraq",0,0,Unknown_ID,"This base is the headquarters of the Israeli army's joint staff.""
  }",Iraq,1,Drone,1970-01-01
,,,,,"One base was hit by a ballistic missile, wounding 4 Peshmerga fighters (one later died)",0,0,Unknown_ID,One base was hit by a ballistic missile,Unknown Country,1,IED,Unknown Date
,,,,,"Another base was hit by a drone, wounding one civilian.""
  },
  {
    ""threat_id"": ""THRT-ISR-001"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Airstrike"",
    ""location"": {
      ""city"": ""Tehran"",
      ""province"": ""Iran"",
      ""coordinates"": [0.0, 0.0]
    },
    ""severity"": ""High"",
    ""confidence"": ""High"",
    ""timestamp"": ""1970-01-01T00:00:00Z"",
    ""details"": ""Israeli army claims US and Israeli forces targeted 'dozens of sites belonging to police forces and Basij' in Tehran, Iran.""
  },
  {
    ""threat_id"": ""THRT-IRN-007"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Cruise Missile, Interception"",
    ""location"": {
      ""city"": ""Riyadh"",
      ""province"": ""Saudi Arabia"",
      ""coordinates"": [0.0, 0.0]
    },
    ""severity"": ""Low"",
    ""confidence"": ""High"",
    ""timestamp"": ""1970-01-01T00:00:00Z"",
    ""details"": ""Saudi Ministry of Defense intercepted two cruise missiles (implied Iranian) south of Riyadh, Saudi Arabia.""
  },
  {
    ""threat_id"": ""THRT-ISR-002"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Missile, Fighter Jet"",
    ""location"": {
      ""city"": ""Urmia"",
      ""province"": ""Iran"",
      ""coordinates"": [0.0, 0.0]
    },
    ""severity"": ""Critical"",
    ""confidence"": ""Low"",
    ""timestamp"": ""1970-01-01T00:00:00Z"",
    ""details"": ""'Ismat' girls' school in Urmia, Iran, was completely destroyed by a missile attack",0,0,Unknown_ID,Riyadh,Saudi Arabia,1,IED,1970-01-01
,,,,,"American-Zionist fighter jets' are accused of the attack.""
  },
  {
    ""threat_id"": ""THRT-IRN-008"",
    ""category"": ""Geopolitical"",
    ""attack_type"": ""Drone, Interception"",
    ""location"": {
      ""city"": ""Ras Tanura"",
      ""province"": ""Saudi Arabia"",
      ""coordinates"": [0.0, 0.0]
    },
    ""severity"": ""Low"",
    ""confidence"": ""High"",
    ""timestamp"": ""1970-01-01T00:00:00Z"",
    ""details"": ""Saudi Arabia intercepted a drone attack on its Ras Tanura oil refinery",0,0,Unknown_ID,"American-Zionist fighter jets' are accused of the attack.""
  }",Saudi Arabia,1,Drone,1970-01-01
